ID_Funcionario;Nome;Departamento;Cargo;Salario;Data_Admissao;Genero;Idade;Estado_Civil;Status;Ano_Admissao;Mes_Admissao;Dia_Admissao;Trimestre_Admissao;Tempo_Casa_Anos;Faixa_Tempo_Casa
21;João Felipe da Cunha;Produção;Assistente;14015.44;2016-09-15;M;42;Viúvo;Inativo;2016;9;15;3;9.6;Mais de 5 anos
22;Marcela Mendes;TI;Técnico;4336.75;2017-04-29;M;21;Solteiro;Inativo;2017;4;29;2;9.0;Mais de 5 anos
23;Maria Cecília Teixeira;Financeiro;Técnico;12411.29;2023-11-27;F;19;Casado;Ativo;2023;11;27;4;2.5;1 a 3 anos
24;Sr. Henrique Fogaça;Financeiro;Técnico;3889.2;2016-05-24;F;22;Solteiro;Inativo;2016;5;24;2;10.0;Mais de 5 anos
25;Dr. Theo Fernandes;TI;Técnico;9900.19;2017-10-17;M;41;Viúvo;Inativo;2017;10;17;4;8.6;Mais de 5 anos
26;Miguel Fernandes;Financeiro;Técnico;4045.15;2025-05-16;F;39;Solteiro;Inativo;2025;5;16;2;1.0;1 a 3 anos
27;Cecília Silveira;Vendas;Assistente;5126.11;2022-10-13;F;49;Casado;Inativo;2022;10;13;4;3.6;3 a 5 anos
28;Srta. Kamilly Freitas;Logística;Analista;6376.48;2018-07-13;F;28;Viúvo;Ativo;2018;7;13;3;7.8;Mais de 5 anos
29;Srta. Ana Lívia Alves;Vendas;Coordenador;14477.24;2022-06-08;F;33;Solteiro;Inativo;2022;6;8;2;3.9;3 a 5 anos
30;Nathan da Mota;RH;Gerente;5525.11;2016-07-29;M;45;Viúvo;Inativo;2016;7;29;3;9.8;Mais de 5 anos
31;Fernando Barbosa;Logística;Gerente;10602.49;2022-09-15;F;51;Solteiro;Inativo;2022;9;15;3;3.6;3 a 5 anos
32;Maria Sophia Campos;RH;Assistente;9515.1;2017-12-25;F;18;Solteiro;Inativo;2017;12;25;4;8.4;Mais de 5 anos
33;Augusto Jesus;Vendas;Assistente;8686.25;2021-07-11;M;36;Casado;Ativo;2021;7;11;3;4.8;3 a 5 anos
34;Sr. Luigi Porto;Produção;Assistente;14387.97;2017-12-12;M;51;Casado;Ativo;2017;12;12;4;8.4;Mais de 5 anos
35;Luana Costa;Vendas;Coordenador;5824.04;2024-03-29;M;21;Casado;Ativo;2024;3;29;1;2.1;1 a 3 anos
36;Laura da Rosa;Financeiro;Gerente;6576.83;2021-09-07;M;23;Viúvo;Ativo;2021;9;7;3;4.7;3 a 5 anos
37;Dra. Letícia Jesus;TI;Assistente;13842.9;2020-08-16;M;40;Casado;Ativo;2020;8;16;3;5.7;Mais de 5 anos
38;Pietro Cunha;Logística;Analista;6665.09;2024-11-30;M;64;Casado;Inativo;2024;11;30;4;1.4;1 a 3 anos
39;Pedro Lucas Nogueira;RH;Coordenador;3250.96;2019-06-08;M;30;Solteiro;Ativo;2019;6;8;2;6.9;Mais de 5 anos
40;Srta. Amanda Souza;TI;Analista;8381.25;2017-05-17;F;58;Solteiro;Ativo;2017;5;17;2;9.0;Mais de 5 anos
41;Sr. Bernardo da Cruz;Financeiro;Técnico;14074.49;2023-12-13;M;34;Casado;Ativo;2023;12;13;4;2.4;1 a 3 anos
42;Sr. Pedro Fernandes;Logística;Coordenador;6640.43;2025-06-02;M;41;Viúvo;Ativo;2025;6;2;2;0.9;Menos de 1 ano
43;Marcos Vinicius Nogueira;Financeiro;Coordenador;9660.73;2019-06-11;F;41;Casado;Ativo;2019;6;11;2;6.9;Mais de 5 anos
44;Pedro Henrique Azevedo;Financeiro;Coordenador;6236.93;2017-09-10;F;40;Solteiro;Ativo;2017;9;10;3;8.7;Mais de 5 anos
45;Sophie Vieira;Financeiro;Assistente;2763.99;2024-12-28;F;35;Solteiro;Ativo;2024;12;28;4;1.4;1 a 3 anos
46;Murilo da Paz;Logística;Analista;2765.1;2018-02-09;M;62;Viúvo;Ativo;2018;2;9;1;8.2;Mais de 5 anos
47;Sra. Luiza Barros;Logística;Analista;10035.11;2017-11-09;F;58;Divorciado;Ativo;2017;11;9;4;8.5;Mais de 5 anos
48;Maitê da Mota;Vendas;Coordenador;7727.77;2018-02-05;M;56;Casado;Ativo;2018;2;5;1;8.3;Mais de 5 anos
49;João Miguel Teixeira;RH;Coordenador;8396.11;2016-06-04;M;48;Solteiro;Ativo;2016;6;4;2;9.9;Mais de 5 anos
50;Benjamin da Costa;TI;Gerente;9766.01;2024-04-27;M;51;Divorciado;Inativo;2024;4;27;2;2.0;1 a 3 anos
51;Esther Nunes;Vendas;Coordenador;6506.85;2016-01-19;F;30;Solteiro;Inativo;2016;1;19;1;10.3;Mais de 5 anos
52;Lorenzo Campos;Produção;Gerente;10022.05;2017-12-08;M;27;Casado;Ativo;2017;12;8;4;8.4;Mais de 5 anos
53;Bruno Monteiro;Logística;Coordenador;12624.23;2023-04-19;M;52;Solteiro;Inativo;2023;4;19;2;3.1;3 a 5 anos
54;Caroline Freitas;Produção;Analista;4529.45;2020-09-01;F;18;Viúvo;Inativo;2020;9;1;3;5.7;Mais de 5 anos
55;Cauã Monteiro;Produção;Coordenador;6495.75;2019-10-07;F;56;Viúvo;Inativo;2019;10;7;4;6.6;Mais de 5 anos
56;Maria Julia Araújo;TI;Assistente;12478.91;2021-03-25;M;53;Viúvo;Ativo;2021;3;25;1;5.1;Mais de 5 anos
57;Marcela Almeida;Financeiro;Coordenador;4500.05;2020-05-26;F;50;Solteiro;Ativo;2020;5;26;2;6.0;Mais de 5 anos
58;Nina Cavalcanti;Financeiro;Técnico;8254.08;2022-08-18;M;60;Viúvo;Ativo;2022;8;18;3;3.7;3 a 5 anos
59;Ryan da Rosa;Financeiro;Assistente;10487.35;2024-09-22;M;62;Viúvo;Inativo;2024;9;22;3;1.6;1 a 3 anos
60;Dr. André Ramos;TI;Técnico;8037.41;2022-09-05;M;52;Viúvo;Ativo;2022;9;5;3;3.7;3 a 5 anos
61;Luiz Henrique Barros;Financeiro;Assistente;8678.2;2024-09-10;M;46;Casado;Inativo;2024;9;10;3;1.7;1 a 3 anos
62;Isabel Rodrigues;Produção;Assistente;14298.44;2024-11-09;M;33;Viúvo;Ativo;2024;11;9;4;1.5;1 a 3 anos
63;Dr. Thiago Almeida;RH;Gerente;5063.42;2019-03-25;F;32;Casado;Inativo;2019;3;25;1;7.1;Mais de 5 anos
64;Stella Moraes;Produção;Analista;10365.67;2017-11-12;M;19;Viúvo;Ativo;2017;11;12;4;8.5;Mais de 5 anos
65;Vicente Dias;RH;Assistente;11324.25;2016-07-22;F;58;Divorciado;Ativo;2016;7;22;3;9.8;Mais de 5 anos
66;Bernardo Dias;RH;Assistente;5063.5;2023-03-11;F;44;Divorciado;Ativo;2023;3;11;1;3.2;3 a 5 anos
67;João Gabriel Caldeira;Produção;Assistente;10561.08;2021-10-10;M;63;Viúvo;Ativo;2021;10;10;4;4.6;3 a 5 anos
68;Daniela Farias;TI;Técnico;3875.09;2021-10-23;F;62;Solteiro;Inativo;2021;10;23;4;4.5;3 a 5 anos
69;Bianca Lima;Vendas;Coordenador;3742.37;2025-07-24;F;33;Divorciado;Ativo;2025;7;24;3;0.8;Menos de 1 ano
70;Enzo Gabriel da Mota;TI;Técnico;9391.96;2015-11-29;F;65;Divorciado;Inativo;2015;11;29;4;10.4;Mais de 5 anos
71;Luiz Felipe Silva;Vendas;Gerente;2639.39;2023-07-07;M;24;Viúvo;Inativo;2023;7;7;3;2.8;1 a 3 anos
72;Benício Monteiro;Produção;Técnico;9858.56;2019-08-12;F;35;Divorciado;Ativo;2019;8;12;3;6.7;Mais de 5 anos
73;Sr. Gustavo Henrique Moreira;RH;Assistente;3762.64;2018-04-28;M;30;Viúvo;Ativo;2018;4;28;2;8.0;Mais de 5 anos
74;Sr. Emanuel Rodrigues;RH;Técnico;10966.9;2021-10-22;M;37;Casado;Inativo;2021;10;22;4;4.5;3 a 5 anos
75;Maria Eduarda da Rocha;Logística;Assistente;12104.93;2015-10-21;F;45;Casado;Inativo;2015;10;21;4;10.6;Mais de 5 anos
76;Luna Silva;Produção;Coordenador;3912.77;2024-10-24;F;48;Viúvo;Inativo;2024;10;24;4;1.5;1 a 3 anos
77;Isaac Lopes;Produção;Coordenador;2297.43;2019-02-06;M;36;Viúvo;Ativo;2019;2;6;1;7.3;Mais de 5 anos
78;Arthur da Rosa;Logística;Analista;14226.15;2019-10-04;F;45;Viúvo;Inativo;2019;10;4;4;6.6;Mais de 5 anos
79;João Barbosa;TI;Assistente;3735.05;2025-02-27;F;65;Casado;Ativo;2025;2;27;1;1.2;1 a 3 anos
80;Breno da Paz;TI;Técnico;9870.75;2017-07-29;F;54;Casado;Inativo;2017;7;29;3;8.8;Mais de 5 anos
81;Gabriela Freitas;Logística;Analista;5573.44;2021-03-16;F;65;Divorciado;Ativo;2021;3;16;1;5.1;Mais de 5 anos
82;Júlia Araújo;Logística;Coordenador;13835.96;2017-09-22;M;40;Viúvo;Inativo;2017;9;22;3;8.6;Mais de 5 anos
83;Vinicius da Cunha;Vendas;Técnico;5481.17;2018-10-18;M;48;Casado;Ativo;2018;10;18;4;7.6;Mais de 5 anos
84;Pietro Fernandes;RH;Técnico;3239.06;2017-01-02;M;49;Solteiro;Ativo;2017;1;2;1;9.3;Mais de 5 anos
85;Marina Ribeiro;Produção;Coordenador;6106.47;2017-09-03;F;18;Solteiro;Ativo;2017;9;3;3;8.7;Mais de 5 anos
86;Isabel Fogaça;RH;Técnico;12980.52;2016-11-09;F;52;Casado;Ativo;2016;11;9;4;9.5;Mais de 5 anos
87;Lucca Araújo;TI;Assistente;4696.83;2024-03-20;F;37;Divorciado;Inativo;2024;3;20;1;2.1;1 a 3 anos
88;Cauã Silva;Vendas;Coordenador;2016.61;2018-01-29;F;19;Solteiro;Ativo;2018;1;29;1;8.3;Mais de 5 anos
89;Mirella da Costa;Produção;Gerente;14460.59;2024-04-03;F;41;Casado;Ativo;2024;4;3;2;2.1;1 a 3 anos
90;Gabrielly Freitas;RH;Coordenador;11678.0;2016-09-24;F;30;Viúvo;Inativo;2016;9;24;3;9.6;Mais de 5 anos
91;Dra. Luiza Sales;RH;Técnico;5074.29;2020-09-10;F;23;Solteiro;Inativo;2020;9;10;3;5.7;Mais de 5 anos
92;Arthur Moura;Vendas;Coordenador;4435.83;2024-07-02;M;18;Divorciado;Ativo;2024;7;2;3;1.9;1 a 3 anos
93;Calebe Campos;Vendas;Técnico;2417.15;2023-07-29;F;64;Viúvo;Inativo;2023;7;29;3;2.8;1 a 3 anos
94;Júlia Cardoso;TI;Coordenador;13409.89;2018-04-19;M;24;Divorciado;Inativo;2018;4;19;2;8.1;Mais de 5 anos
95;Kevin Ferreira;RH;Coordenador;2523.3;2022-08-09;F;35;Casado;Inativo;2022;8;9;3;3.8;3 a 5 anos
96;Yuri Porto;RH;Técnico;6330.58;2018-08-20;F;39;Casado;Ativo;2018;8;20;3;7.7;Mais de 5 anos
97;Ana Fogaça;Vendas;Gerente;2425.39;2022-03-25;M;37;Viúvo;Ativo;2022;3;25;1;4.1;3 a 5 anos
98;Anthony das Neves;Produção;Gerente;10523.68;2018-02-12;F;39;Solteiro;Ativo;2018;2;12;1;8.2;Mais de 5 anos
99;Pietro Castro;RH;Assistente;7203.07;2019-04-22;F;58;Solteiro;Inativo;2019;4;22;2;7.0;Mais de 5 anos
100;Helena Gonçalves;Financeiro;Assistente;13896.74;2019-06-08;F;26;Casado;Ativo;2019;6;8;2;6.9;Mais de 5 anos
101;Luiz Otávio Novaes;TI;Analista;3301.95;2015-11-12;M;58;Viúvo;Inativo;2015;11;12;4;10.5;Mais de 5 anos
102;Brenda Aragão;Produção;Técnico;5450.49;2017-06-24;M;23;Solteiro;Inativo;2017;6;24;2;8.9;Mais de 5 anos
103;Evelyn da Rocha;RH;Coordenador;12030.35;2023-05-17;F;30;Casado;Inativo;2023;5;17;2;3.0;3 a 5 anos
104;Ana Júlia da Luz;RH;Técnico;7329.99;2024-01-13;M;64;Viúvo;Inativo;2024;1;13;1;2.3;1 a 3 anos
105;Fernanda Almeida;Produção;Gerente;14948.18;2017-05-17;M;20;Solteiro;Inativo;2017;5;17;2;9.0;Mais de 5 anos
106;Dr. Diego Campos;RH;Coordenador;14703.7;2020-12-25;F;52;Solteiro;Ativo;2020;12;25;4;5.4;Mais de 5 anos
107;Isadora Teixeira;Financeiro;Analista;2731.04;2016-10-18;F;40;Viúvo;Ativo;2016;10;18;4;9.6;Mais de 5 anos
108;Giovanna Mendes;Vendas;Técnico;2210.27;2025-04-29;M;36;Viúvo;Inativo;2025;4;29;2;1.0;1 a 3 anos
109;Dra. Maria Alice Oliveira;TI;Técnico;12258.99;2016-10-20;F;63;Divorciado;Ativo;2016;10;20;4;9.6;Mais de 5 anos
110;Mirella Lima;Financeiro;Assistente;4119.5;2017-11-13;M;47;Casado;Inativo;2017;11;13;4;8.5;Mais de 5 anos
111;João Pedro Rodrigues;Produção;Assistente;12591.9;2024-09-01;M;37;Casado;Ativo;2024;9;1;3;1.7;1 a 3 anos
112;Evelyn da Costa;Produção;Técnico;10380.64;2022-01-09;M;25;Divorciado;Inativo;2022;1;9;1;4.3;3 a 5 anos
113;Pedro Lucas Cunha;Financeiro;Assistente;6587.44;2023-05-19;M;65;Divorciado;Ativo;2023;5;19;2;3.0;3 a 5 anos
114;Pedro Lucas da Paz;RH;Gerente;7193.38;2020-03-03;F;60;Viúvo;Inativo;2020;3;3;1;6.2;Mais de 5 anos
115;Dr. Marcos Vinicius Campos;Financeiro;Analista;6118.75;2020-01-15;M;38;Solteiro;Ativo;2020;1;15;1;6.3;Mais de 5 anos
116;Dr. Erick da Rocha;Financeiro;Assistente;8893.64;2019-07-10;M;47;Casado;Ativo;2019;7;10;3;6.8;Mais de 5 anos
117;Gabriela Sales;Logística;Analista;3628.3;2024-04-07;M;30;Solteiro;Inativo;2024;4;7;2;2.1;1 a 3 anos
118;Eloah Araújo;Vendas;Gerente;14440.92;2016-01-19;F;43;Divorciado;Inativo;2016;1;19;1;10.3;Mais de 5 anos
119;Pietro Almeida;Vendas;Coordenador;11445.42;2024-09-29;M;60;Viúvo;Ativo;2024;9;29;3;1.6;1 a 3 anos
120;Davi Lucca Cardoso;Logística;Gerente;3265.14;2019-09-21;F;64;Casado;Ativo;2019;9;21;3;6.6;Mais de 5 anos
121;Rebeca Dias;Financeiro;Gerente;8487.38;2022-07-06;F;25;Viúvo;Inativo;2022;7;6;3;3.8;3 a 5 anos
122;Srta. Maria Fernanda Melo;RH;Coordenador;3546.83;2025-03-03;F;50;Casado;Inativo;2025;3;3;1;1.2;1 a 3 anos
123;Sr. João Lucas da Mota;Logística;Coordenador;13604.34;2019-05-01;F;57;Viúvo;Inativo;2019;5;1;2;7.0;Mais de 5 anos
124;Emanuella Costela;RH;Assistente;6640.74;2021-05-20;F;52;Solteiro;Ativo;2021;5;20;2;5.0;Mais de 5 anos
125;Pedro Henrique Santos;TI;Analista;12796.79;2017-06-26;M;47;Divorciado;Ativo;2017;6;26;2;8.9;Mais de 5 anos
126;João Gabriel Lopes;Logística;Gerente;10372.78;2025-04-17;F;24;Viúvo;Ativo;2025;4;17;2;1.1;1 a 3 anos
127;Maria Clara da Rocha;Financeiro;Coordenador;7454.93;2022-12-09;F;41;Casado;Ativo;2022;12;9;4;3.4;3 a 5 anos
128;Enzo Lima;Produção;Gerente;10084.05;2025-02-21;F;36;Solteiro;Ativo;2025;2;21;1;1.2;1 a 3 anos
129;Eduarda Costa;Vendas;Gerente;9449.27;2021-12-11;M;28;Solteiro;Ativo;2021;12;11;4;4.4;3 a 5 anos
130;Lívia Barros;TI;Técnico;5061.23;2018-12-24;F;28;Casado;Inativo;2018;12;24;4;7.4;Mais de 5 anos
131;Catarina Costela;TI;Gerente;9597.83;2023-07-03;M;56;Casado;Inativo;2023;7;3;3;2.9;1 a 3 anos
132;Laura Cardoso;TI;Gerente;7364.46;2018-06-29;M;50;Divorciado;Inativo;2018;6;29;2;7.9;Mais de 5 anos
133;Cauã Fernandes;Produção;Coordenador;14125.48;2020-08-28;M;65;Divorciado;Inativo;2020;8;28;3;5.7;Mais de 5 anos
134;Dr. Benjamin Nunes;Vendas;Técnico;2614.77;2024-12-12;M;40;Casado;Ativo;2024;12;12;4;1.4;1 a 3 anos
135;Yago Costela;Financeiro;Analista;7499.29;2015-12-07;M;19;Viúvo;Ativo;2015;12;7;4;10.4;Mais de 5 anos
136;Caio Moura;Vendas;Gerente;2963.24;2018-06-12;M;53;Viúvo;Ativo;2018;6;12;2;7.9;Mais de 5 anos
137;Sr. Nathan Farias;Logística;Gerente;5519.93;2021-05-13;F;63;Divorciado;Inativo;2021;5;13;2;5.0;Mais de 5 anos
138;Beatriz Duarte;Vendas;Assistente;4204.51;2024-09-10;M;35;Casado;Ativo;2024;9;10;3;1.7;1 a 3 anos
139;Nina da Rocha;Logística;Assistente;7842.69;2020-10-02;F;45;Divorciado;Inativo;2020;10;2;4;5.6;Mais de 5 anos
140;Alexia Caldeira;Vendas;Gerente;11322.0;2024-12-28;F;25;Casado;Inativo;2024;12;28;4;1.4;1 a 3 anos
141;Sra. Maria Julia Fernandes;RH;Técnico;11636.77;2020-07-29;M;25;Viúvo;Ativo;2020;7;29;3;5.8;Mais de 5 anos
142;Davi Lucca Castro;Vendas;Técnico;5753.21;2022-10-22;F;19;Divorciado;Inativo;2022;10;22;4;3.5;3 a 5 anos
143;Helena da Mota;RH;Coordenador;10605.89;2020-07-27;F;44;Casado;Ativo;2020;7;27;3;5.8;Mais de 5 anos
144;Davi Lucas Caldeira;Produção;Coordenador;9086.65;2023-02-08;F;38;Solteiro;Inativo;2023;2;8;1;3.2;3 a 5 anos
145;Luna Cardoso;Produção;Gerente;5621.19;2023-03-20;M;38;Casado;Ativo;2023;3;20;1;3.1;3 a 5 anos
146;Sr. Antônio Silveira;TI;Técnico;10544.85;2018-02-21;M;26;Divorciado;Ativo;2018;2;21;1;8.2;Mais de 5 anos
147;Laís Melo;Produção;Técnico;14095.43;2019-09-17;F;48;Divorciado;Inativo;2019;9;17;3;6.6;Mais de 5 anos
148;Vinicius Campos;RH;Coordenador;9597.38;2021-04-16;M;35;Viúvo;Ativo;2021;4;16;2;5.1;Mais de 5 anos
149;Alícia Ribeiro;Vendas;Técnico;10987.24;2022-09-22;F;37;Viúvo;Ativo;2022;9;22;3;3.6;3 a 5 anos
150;Srta. Raquel Duarte;Financeiro;Coordenador;8944.28;2017-03-26;F;34;Solteiro;Inativo;2017;3;26;1;9.1;Mais de 5 anos
151;Rafael Rocha;Produção;Técnico;2383.0;2016-01-27;M;40;Divorciado;Ativo;2016;1;27;1;10.3;Mais de 5 anos
152;Beatriz Nogueira;Financeiro;Técnico;4348.04;2018-10-05;F;58;Divorciado;Ativo;2018;10;5;4;7.6;Mais de 5 anos
153;Ana Carolina Peixoto;Logística;Analista;11241.83;2016-06-27;F;39;Casado;Ativo;2016;6;27;2;9.9;Mais de 5 anos
154;Bruno Pinto;Financeiro;Analista;4088.5;2019-12-07;M;42;Solteiro;Ativo;2019;12;7;4;6.4;Mais de 5 anos
155;Luiz Felipe Lopes;Logística;Coordenador;13376.95;2016-06-08;F;36;Solteiro;Ativo;2016;6;8;2;9.9;Mais de 5 anos
156;João Silva;Financeiro;Gerente;4966.75;2018-05-31;M;47;Casado;Ativo;2018;5;31;2;7.9;Mais de 5 anos
157;Vinicius Cavalcanti;Vendas;Técnico;7181.7;2020-06-10;M;31;Viúvo;Inativo;2020;6;10;2;5.9;Mais de 5 anos
158;Isadora Azevedo;Vendas;Técnico;11472.74;2023-09-24;M;64;Viúvo;Ativo;2023;9;24;3;2.6;1 a 3 anos
159;Pedro Lucas Nascimento;Logística;Coordenador;10335.25;2019-09-29;F;58;Solteiro;Inativo;2019;9;29;3;6.6;Mais de 5 anos
160;Sra. Maria Clara Castro;RH;Gerente;8773.51;2022-03-11;F;46;Solteiro;Ativo;2022;3;11;1;4.2;3 a 5 anos
161;Valentina Gomes;Produção;Analista;14040.0;2021-12-18;F;31;Viúvo;Inativo;2021;12;18;4;4.4;3 a 5 anos
162;Giovanna Nascimento;Vendas;Gerente;14904.99;2019-03-23;F;42;Divorciado;Ativo;2019;3;23;1;7.1;Mais de 5 anos
163;Vicente Souza;RH;Gerente;13577.05;2019-07-14;M;38;Divorciado;Inativo;2019;7;14;3;6.8;Mais de 5 anos
164;Sr. Benício Ribeiro;RH;Técnico;8194.41;2016-10-12;M;28;Divorciado;Inativo;2016;10;12;4;9.6;Mais de 5 anos
165;Alexia da Cruz;RH;Analista;2720.29;2016-01-19;F;54;Viúvo;Ativo;2016;1;19;1;10.3;Mais de 5 anos
166;Diego Sales;Vendas;Técnico;14594.93;2023-03-14;M;40;Casado;Ativo;2023;3;14;1;3.2;3 a 5 anos
167;Gustavo Henrique Rocha;Logística;Coordenador;7857.82;2015-11-14;F;47;Viúvo;Ativo;2015;11;14;4;10.5;Mais de 5 anos
168;Marcela Cavalcanti;TI;Técnico;4142.55;2016-08-05;F;50;Viúvo;Ativo;2016;8;5;3;9.8;Mais de 5 anos
169;Henrique Lopes;Logística;Coordenador;5878.06;2022-04-24;M;26;Divorciado;Ativo;2022;4;24;2;4.0;3 a 5 anos
170;Sr. Lorenzo Melo;RH;Coordenador;14020.32;2024-12-28;M;18;Solteiro;Ativo;2024;12;28;4;1.4;1 a 3 anos
171;Cauê Cardoso;Produção;Técnico;2862.18;2022-11-01;F;49;Casado;Ativo;2022;11;1;4;3.5;3 a 5 anos
172;Lavínia Martins;RH;Gerente;7160.25;2025-05-05;M;26;Viúvo;Inativo;2025;5;5;2;1.0;1 a 3 anos
173;Luiz Felipe Pires;Vendas;Analista;4225.91;2023-04-09;M;54;Viúvo;Ativo;2023;4;9;2;3.1;3 a 5 anos
174;Srta. Bruna da Rocha;Produção;Técnico;4806.27;2023-12-10;F;57;Divorciado;Ativo;2023;12;10;4;2.4;1 a 3 anos
175;Laura Peixoto;Logística;Assistente;11471.17;2024-12-12;F;54;Divorciado;Ativo;2024;12;12;4;1.4;1 a 3 anos
176;Maria Cardoso;TI;Gerente;12127.27;2024-05-22;F;54;Casado;Inativo;2024;5;22;2;2.0;1 a 3 anos
177;Larissa Castro;TI;Assistente;11964.67;2021-04-18;F;21;Divorciado;Ativo;2021;4;18;2;5.1;Mais de 5 anos
178;Kevin Freitas;Financeiro;Coordenador;9868.25;2018-08-14;M;63;Solteiro;Inativo;2018;8;14;3;7.7;Mais de 5 anos
179;Marcos Vinicius Castro;Financeiro;Gerente;7714.11;2018-08-23;M;55;Casado;Ativo;2018;8;23;3;7.7;Mais de 5 anos
180;Sra. Maria Alice Pires;Financeiro;Assistente;9254.91;2019-10-01;F;29;Viúvo;Ativo;2019;10;1;4;6.6;Mais de 5 anos
181;Brenda Moura;TI;Assistente;6704.32;2017-02-19;F;29;Divorciado;Inativo;2017;2;19;1;9.2;Mais de 5 anos
182;Matheus da Paz;Financeiro;Gerente;14270.97;2019-02-01;F;43;Solteiro;Inativo;2019;2;1;1;7.3;Mais de 5 anos
183;Dra. Amanda Ramos;Produção;Técnico;11408.29;2018-06-06;F;31;Viúvo;Ativo;2018;6;6;2;7.9;Mais de 5 anos
184;Marcos Vinicius Nascimento;Produção;Analista;13610.89;2015-10-27;M;36;Casado;Inativo;2015;10;27;4;10.5;Mais de 5 anos
185;Vitor Gabriel Carvalho;Produção;Assistente;10997.7;2023-12-23;F;35;Casado;Inativo;2023;12;23;4;2.4;1 a 3 anos
186;Carlos Eduardo Nunes;Vendas;Coordenador;4563.36;2018-05-25;M;56;Solteiro;Ativo;2018;5;25;2;8.0;Mais de 5 anos
187;Isabel Barros;Logística;Assistente;5867.69;2023-09-09;M;46;Casado;Ativo;2023;9;9;3;2.7;1 a 3 anos
188;Ana Júlia Cardoso;TI;Gerente;8738.63;2021-05-30;M;52;Viúvo;Ativo;2021;5;30;2;4.9;3 a 5 anos
189;João Pereira;Produção;Técnico;8151.56;2016-09-12;M;28;Casado;Inativo;2016;9;12;3;9.7;Mais de 5 anos
190;Levi Freitas;Vendas;Assistente;3011.79;2017-11-04;M;22;Viúvo;Inativo;2017;11;4;4;8.5;Mais de 5 anos
191;Bruno Jesus;RH;Técnico;7224.6;2021-06-18;F;31;Solteiro;Ativo;2021;6;18;2;4.9;3 a 5 anos
192;Laís Rodrigues;Financeiro;Técnico;3718.9;2021-11-19;F;64;Viúvo;Ativo;2021;11;19;4;4.5;3 a 5 anos
193;Augusto Dias;Financeiro;Gerente;9930.1;2016-05-20;F;42;Viúvo;Ativo;2016;5;20;2;10.0;Mais de 5 anos
